Source-CPFAnchor-ID	SNAC-CPFAnchor-ID	Role	ArcRole	Source-CPFTarget-ID	SNAC-CPFTarget-ID
nypl2019.29934.c01		person	associatedWith	nypl2019.29934.r002	
nypl2019.29934.c01		person	associatedWith	nypl2019.29934.r003	
nypl2019.29934.c01		person	associatedWith	nypl2019.29934.r004	
nypl2019.29934.c01		person	associatedWith	nypl2019.29934.r005	
nypl2019.29934.r001		person	associatedWith	nypl2019.29934.c01	
nypl2019.29934.r002		person	associatedWith	nypl2019.29934.c01	
nypl2019.29934.r003		person	associatedWith	nypl2019.29934.c01	
nypl2019.29934.r004		person	associatedWith	nypl2019.29934.c01	
nypl2019.29934.r005		person	associatedWith	nypl2019.29934.c01	
nypl2019.24828.c01		person	associatedWith	nypl2019.24828.r001	
nypl2019.24828.c01		person	associatedWith	nypl2019.24828.r002	
nypl2019.24828.c01		person	associatedWith	nypl2019.24828.r003	
nypl2019.24828.c01		person	associatedWith	nypl2019.24828.r004	
nypl2019.24828.c01		person	associatedWith	nypl2019.24828.r005	
nypl2019.24828.c01		person	associatedWith	nypl2019.24828.r006	
nypl2019.24828.c01		person	associatedWith	nypl2019.24828.r007	
nypl2019.24828.r001		person	associatedWith	nypl2019.24828.c01	
nypl2019.24828.r002		person	associatedWith	nypl2019.24828.c01	
nypl2019.24828.r003		person	associatedWith	nypl2019.24828.c01	
nypl2019.24828.r004		person	associatedWith	nypl2019.24828.c01	
nypl2019.24828.r005		person	associatedWith	nypl2019.24828.c01	
nypl2019.24828.r006		person	associatedWith	nypl2019.24828.c01	
nypl2019.24828.r007		person	associatedWith	nypl2019.24828.c01	
nypl2019.29935.c01		person	correspondedWith	nypl2019.29935.r001	
nypl2019.29935.c01		person	correspondedWith	nypl2019.29935.r002	
nypl2019.29935.c01		person	correspondedWith	nypl2019.29935.r003	
nypl2019.29935.r001		person	correspondedWith	nypl2019.29935.c01	
nypl2019.29935.r002		person	correspondedWith	nypl2019.29935.c01	
nypl2019.29935.r003		person	correspondedWith	nypl2019.29935.c01	
nypl2019.24593.c01		person	associatedWith	nypl2019.24593.r001	
nypl2019.24593.c01		person	associatedWith	nypl2019.24593.r002	
nypl2019.24593.c01		person	associatedWith	nypl2019.24593.r003	
nypl2019.24593.c01		corporateBody	associatedWith	nypl2019.24593.r004	
nypl2019.24593.c01		corporateBody	associatedWith	nypl2019.24593.r005	
nypl2019.24593.c01		corporateBody	associatedWith	nypl2019.24593.r006	
nypl2019.24593.c01		corporateBody	associatedWith	nypl2019.24593.r007	
nypl2019.24593.c01		corporateBody	associatedWith	nypl2019.24593.r008	
nypl2019.24593.c01		corporateBody	associatedWith	nypl2019.24593.r009	
nypl2019.24593.c01		corporateBody	associatedWith	nypl2019.24593.r010	
nypl2019.24593.r001		person	associatedWith	nypl2019.24593.c01	
nypl2019.24593.r002		person	associatedWith	nypl2019.24593.c01	
nypl2019.24593.r003		person	associatedWith	nypl2019.24593.c01	
nypl2019.24593.r004		person	associatedWith	nypl2019.24593.c01	
nypl2019.24593.r005		person	associatedWith	nypl2019.24593.c01	
nypl2019.24593.r006		person	associatedWith	nypl2019.24593.c01	
nypl2019.24593.r007		person	associatedWith	nypl2019.24593.c01	
nypl2019.24593.r008		person	associatedWith	nypl2019.24593.c01	
nypl2019.24593.r009		person	associatedWith	nypl2019.24593.c01	
nypl2019.24593.r010		person	associatedWith	nypl2019.24593.c01	
nypl2019.29909.c01		person	associatedWith	nypl2019.29909.r001	
nypl2019.29909.r001		person	associatedWith	nypl2019.29909.c01	
nypl2019.29910.c01		person	associatedWith	nypl2019.29910.r001	
nypl2019.29910.c01		person	associatedWith	nypl2019.29910.r002	
nypl2019.29910.r001		person	associatedWith	nypl2019.29910.c01	
nypl2019.29910.r002		person	associatedWith	nypl2019.29910.c01	
nypl2019.24818.c01		person	associatedWith	nypl2019.24818.r001	
nypl2019.24818.c01		person	correspondedWith	nypl2019.24818.r002	
nypl2019.24818.c01		family	associatedWith	nypl2019.24818.r003	
nypl2019.24818.c01		family	associatedWith	nypl2019.24818.r004	
nypl2019.24818.c01		family	associatedWith	nypl2019.24818.r005	
nypl2019.24818.c01		family	associatedWith	nypl2019.24818.r006	
nypl2019.24818.c01		family	associatedWith	nypl2019.24818.r007	
nypl2019.24818.c01		corporateBody	associatedWith	nypl2019.24818.r008	
nypl2019.24818.r001		person	associatedWith	nypl2019.24818.c01	
nypl2019.24818.r002		person	correspondedWith	nypl2019.24818.c01	
nypl2019.24818.r003		person	associatedWith	nypl2019.24818.c01	
nypl2019.24818.r004		person	associatedWith	nypl2019.24818.c01	
nypl2019.24818.r005		person	associatedWith	nypl2019.24818.c01	
nypl2019.24818.r006		person	associatedWith	nypl2019.24818.c01	
nypl2019.24818.r007		person	associatedWith	nypl2019.24818.c01	
nypl2019.24818.r008		person	associatedWith	nypl2019.24818.c01	
nypl2019.25285.c01		corporateBody	associatedWith	nypl2019.25285.r001	
nypl2019.25285.r001		person	associatedWith	nypl2019.25285.c01	
nypl2019.24831.c01		person	correspondedWith	nypl2019.24831.r001	
nypl2019.24831.c01		person	correspondedWith	nypl2019.24831.r002	
nypl2019.24831.c01		person	associatedWith	nypl2019.24831.r003	
nypl2019.24831.c01		corporateBody	associatedWith	nypl2019.24831.r004	
nypl2019.24831.r001		person	correspondedWith	nypl2019.24831.c01	
nypl2019.24831.r002		person	correspondedWith	nypl2019.24831.c01	
nypl2019.24831.r003		person	associatedWith	nypl2019.24831.c01	
nypl2019.24831.r004		person	associatedWith	nypl2019.24831.c01	
nypl2019.24602.c01		person	associatedWith	nypl2019.24602.r001	
nypl2019.24602.c01		person	associatedWith	nypl2019.24602.r002	
nypl2019.24602.c01		person	associatedWith	nypl2019.24602.r003	
nypl2019.24602.c01		person	associatedWith	nypl2019.24602.r004	
nypl2019.24602.c01		corporateBody	associatedWith	nypl2019.24602.r005	
nypl2019.24602.r001		person	associatedWith	nypl2019.24602.c01	
nypl2019.24602.r002		person	associatedWith	nypl2019.24602.c01	
nypl2019.24602.r003		person	associatedWith	nypl2019.24602.c01	
nypl2019.24602.r004		person	associatedWith	nypl2019.24602.c01	
nypl2019.24602.r005		person	associatedWith	nypl2019.24602.c01	
nypl2019.29911.c01		person	correspondedWith	nypl2019.29911.r001	
nypl2019.29911.r001		person	correspondedWith	nypl2019.29911.c01	
nypl2019.24576.c01		person	associatedWith	nypl2019.24576.r001	
nypl2019.24576.c01		person	associatedWith	nypl2019.24576.r002	
nypl2019.24576.c01		person	associatedWith	nypl2019.24576.r003	
nypl2019.24576.c01		person	associatedWith	nypl2019.24576.r004	
nypl2019.24576.c01		person	associatedWith	nypl2019.24576.r005	
nypl2019.24576.c01		person	associatedWith	nypl2019.24576.r006	
nypl2019.24576.c01		person	associatedWith	nypl2019.24576.r007	
nypl2019.24576.c01		person	associatedWith	nypl2019.24576.r008	
nypl2019.24576.c01		person	associatedWith	nypl2019.24576.r009	
nypl2019.24576.c01		person	associatedWith	nypl2019.24576.r010	
nypl2019.24576.c01		family	associatedWith	nypl2019.24576.r011	
nypl2019.24576.c01		corporateBody	associatedWith	nypl2019.24576.r012	
nypl2019.24576.r001		person	associatedWith	nypl2019.24576.c01	
nypl2019.24576.r002		person	associatedWith	nypl2019.24576.c01	
nypl2019.24576.r003		person	associatedWith	nypl2019.24576.c01	
nypl2019.24576.r004		person	associatedWith	nypl2019.24576.c01	
nypl2019.24576.r005		person	associatedWith	nypl2019.24576.c01	
nypl2019.24576.r006		person	associatedWith	nypl2019.24576.c01	
nypl2019.24576.r007		person	associatedWith	nypl2019.24576.c01	
nypl2019.24576.r008		person	associatedWith	nypl2019.24576.c01	
nypl2019.24576.r009		person	associatedWith	nypl2019.24576.c01	
nypl2019.24576.r010		person	associatedWith	nypl2019.24576.c01	
nypl2019.24576.r011		person	associatedWith	nypl2019.24576.c01	
nypl2019.24576.r012		person	associatedWith	nypl2019.24576.c01	
nypl2019.25287.r001		corporateBody	associatedWith	nypl2019.25287.c01	
nypl2019.25287.r002		corporateBody	associatedWith	nypl2019.25287.c01	
nypl2019.25287.r003		corporateBody	associatedWith	nypl2019.25287.c01	
nypl2019.25287.c01		person	associatedWith	nypl2019.25287.r001	
nypl2019.25287.c01		person	associatedWith	nypl2019.25287.r002	
nypl2019.25287.c01		person	associatedWith	nypl2019.25287.r003	
nypl2019.24833.c01		person	associatedWith	nypl2019.24833.r001	
nypl2019.24833.c01		corporateBody	associatedWith	nypl2019.24833.r002	
nypl2019.24833.r001		person	associatedWith	nypl2019.24833.c01	
nypl2019.24833.r002		person	associatedWith	nypl2019.24833.c01	
nypl2019.25286.c01		person	associatedWith	nypl2019.25286.r001	
nypl2019.25286.c01		corporateBody	associatedWith	nypl2019.25286.r002	
nypl2019.25286.r001		person	associatedWith	nypl2019.25286.c01	
nypl2019.25286.r002		person	associatedWith	nypl2019.25286.c01	
nypl2019.24588.c01		corporateBody	associatedWith	nypl2019.24588.r001	
nypl2019.24588.r001		person	associatedWith	nypl2019.24588.c01	
nypl2019.24264.c01		person	associatedWith	nypl2019.24264.r001	
nypl2019.24264.r001		person	associatedWith	nypl2019.24264.c01	
nypl2019.24846.c01		person	associatedWith	nypl2019.24846.r001	
nypl2019.24846.c01		person	associatedWith	nypl2019.24846.r002	
nypl2019.24846.c01		person	associatedWith	nypl2019.24846.r003	
nypl2019.24846.c01		corporateBody	associatedWith	nypl2019.24846.r004	
nypl2019.24846.c01		corporateBody	associatedWith	nypl2019.24846.r005	
nypl2019.24846.c01		corporateBody	associatedWith	nypl2019.24846.r006	
nypl2019.24846.c01		corporateBody	associatedWith	nypl2019.24846.r007	
nypl2019.24846.c01		corporateBody	associatedWith	nypl2019.24846.r008	
nypl2019.24846.c01		corporateBody	associatedWith	nypl2019.24846.r009	
nypl2019.24846.r001		person	associatedWith	nypl2019.24846.c01	
nypl2019.24846.r002		person	associatedWith	nypl2019.24846.c01	
